train epoch: 83 batch: 4000 cost: 0.572847
train epoch: 83 batch: 8000 cost: 0.559697
train epoch: 83 batch: 12000 cost: 0.59617
train epoch: 83 batch: 16000 cost: 0.613489
train epoch: 84 batch: 0 cost: 0.603554
train epoch: 84 batch: 4000 cost: 0.53983
train epoch: 84 batch: 8000 cost: 0.522988
train epoch: 84 batch: 12000 cost: 0.551219
train epoch: 84 batch: 16000 cost: 0.538187
train epoch: 85 batch: 0 cost: 0.648831
train epoch: 85 batch: 4000 cost: 0.602699
train epoch: 85 batch: 8000 cost: 0.527779
train epoch: 85 batch: 12000 cost: 0.682405
train epoch: 85 batch: 16000 cost: 0.483317
train epoch: 86 batch: 0 cost: 0.576511
train epoch: 86 batch: 4000 cost: 0.463147
train epoch: 86 batch: 8000 cost: 0.493471
train epoch: 86 batch: 12000 cost: 0.448309
train epoch: 86 batch: 16000 cost: 0.466096
train epoch: 87 batch: 0 cost: 0.448381
train epoch: 87 batch: 4000 cost: 0.443894
train epoch: 87 batch: 8000 cost: 0.447658
train epoch: 87 batch: 12000 cost: 0.40735
train epoch: 87 batch: 16000 cost: 0.383321
train epoch: 88 batch: 0 cost: 0.410548
train epoch: 88 batch: 4000 cost: 0.472932
train epoch: 88 batch: 8000 cost: 0.483066
train epoch: 88 batch: 12000 cost: 0.372316
train epoch: 88 batch: 16000 cost: 0.426957
train epoch: 89 batch: 0 cost: 0.395459
train epoch: 89 batch: 4000 cost: 0.382017
train epoch: 89 batch: 8000 cost: 0.371041
train epoch: 89 batch: 12000 cost: 0.358504
train epoch: 89 batch: 16000 cost: 0.351088
train epoch: 90 batch: 0 cost: 0.354868
train epoch: 90 batch: 4000 cost: 0.340603
train epoch: 90 batch: 8000 cost: 0.344277
train epoch: 90 batch: 12000 cost: 0.403482
train epoch: 90 batch: 16000 cost: 0.35526
train epoch: 91 batch: 0 cost: 0.34566
train epoch: 91 batch: 4000 cost: 0.375081
train epoch: 91 batch: 8000 cost: 0.345911
train epoch: 91 batch: 12000 cost: 0.326374
train epoch: 91 batch: 16000 cost: 0.318042
train epoch: 92 batch: 0 cost: 0.325804
train epoch: 92 batch: 4000 cost: 0.313908
train epoch: 92 batch: 8000 cost: 0.304539
train epoch: 92 batch: 12000 cost: 0.337584
train epoch: 92 batch: 16000 cost: 0.458876
train epoch: 93 batch: 0 cost: 0.520134
train epoch: 93 batch: 4000 cost: 0.399386
train epoch: 93 batch: 8000 cost: 0.516169
train epoch: 93 batch: 12000 cost: 0.438456
train epoch: 93 batch: 16000 cost: 0.397587
train epoch: 94 batch: 0 cost: 0.420626
train epoch: 94 batch: 4000 cost: 0.377179
train epoch: 94 batch: 8000 cost: 0.389557
train epoch: 94 batch: 12000 cost: 0.369018
train epoch: 94 batch: 16000 cost: 0.363439
train epoch: 95 batch: 0 cost: 0.380389
train epoch: 95 batch: 4000 cost: 0.355035
train epoch: 95 batch: 8000 cost: 0.383896
train epoch: 95 batch: 12000 cost: 0.330906
train epoch: 95 batch: 16000 cost: 0.37116
train epoch: 96 batch: 0 cost: 0.339607
train epoch: 96 batch: 4000 cost: 0.34621
train epoch: 96 batch: 8000 cost: 0.338325
train epoch: 96 batch: 12000 cost: 0.313716
train epoch: 96 batch: 16000 cost: 0.338427
train epoch: 97 batch: 0 cost: 0.320842
train epoch: 97 batch: 4000 cost: 0.336133
train epoch: 97 batch: 8000 cost: 0.292586
train epoch: 97 batch: 12000 cost: 0.319348
train epoch: 97 batch: 16000 cost: 0.289649
train epoch: 98 batch: 0 cost: 0.316907
train epoch: 98 batch: 4000 cost: 0.288182
train epoch: 98 batch: 8000 cost: 0.280914
train epoch: 98 batch: 12000 cost: 0.286541
